57/8036,David G. Rand,Yale University, Department of Psychology, USA
225/0119,Francesco Fabbri,None
309/5837,Maria Luisa Croci,None
265/5912,Shaoyang Fan,None
75/2307-3,Lei Han 0003,University of Queensland, Brisbane, QLD, Australia
s/SWSadiq,Shazia W. Sadiq,University of Queensland, Brisbane, Australia
27/8885,Mark A. Finlayson,Florida International University, USA
232/1579,Hayden Freedman,None
h/AndrevanderHoek,André van der Hoek,University of California, Irvine, USA
60/1286,Bill Tomlinson,University of California, Irvine, USA
314/4237,Mei Fukuda,None
53/4994,Kazuyuki Shudo,None
10/107,Hiroki Sayama,None
322/4957,Manuel Ganter,None
322/5441,Malte Toetzke,None
70/2003,Robert Ghrist,None
274/1545,McKenzie Himelein-Wachowiak,None
274/1719,Amy Kwarteng,None
322/5475,Sy Hwang,None
274/1406,Muhammad Rahman 0004,National Institutes of Health, National Institute on Drug Abuse, Bethesda, MD, USA
200/4610,Veronica E. Lynn,None
132/6486,Keshav Gupta,None
322/5438,Farhan Ahmed,None
200/7921,Sandra Matz,None
46/3430,H. Andrew Schwartz,Stony Brook University, USA
217/9924-1,Marco Di Giovanni 0001,Polytechnic University of Milan, Italy
256/5360,Christopher Torres-Lugo,None
b/MarcoBrambilla,Marco Brambilla 0001,Polytechnic University of Milan, DEIB, Milan, Italy
71/2230,Jin-Hee Cho,None
c/IngRayChen,Ing-Ray Chen,Virginia Tech, Blacksburg, Virginia, USA
230/0909,Srijan Sengupta,None
263/2323,Michin Hong,None
38/11520,Tanushree Mitra,None
14/2107,Xiaobo Guo,None
127/3100,Weicheng Ma,None
01/1709,Soroush Vosoughi,None
249/2306,Omkar Gurjar,None
293/6400,Tanmay Bansal,None
120/8503,Hemank Lamba,Carnegie Mellon University, School of Computer Science, Pittsburgh, PA, USA
243/6917,Maaz Bin Musa,None
59/3605,Muhammad Fareed Zaffar,None
322/5349,Mara Hamlett,None
322/5484,Grace Powell,None
s/YasinNSilva,Yasin N. Silva,Arizona State University, Tempe, Arizona, USA
190/5228,Deborah L. Hall,None
275/2607,Catherine Han,None
322/4975,Clara Hanson,None
132/7522,Jesse Anderton,None
06/8887,Samuel F. Way,None
239/5159,Ian Anderson 0003,Spotify, New York, NY, USA
322/5417,Scott Wolf,None
45/2992,Alice Wang,None
157/1889-1,Rakibul Hasan 0001,Arizona State University, PERSUE Lab, Tempe, AZ, USA
159/6901,Cristobal Cheyre,None
126/1883,Roberto Hoyle,Oberlin College, OH, USA
50/6916,Apu Kapadia,Indiana University Bloomington, IN, USA
264/4665,Valentin Hofmann,None
s/HinrichSchutze,Hinrich Schütze,Ludwig Maximilian University of Munich, Center for Information and Language Processing, Germany
60/5814,Janet B. Pierrehumbert,University of Oxford, UK
161/0006,Sviatlana Höhn,None
m/SjoukeMauw,Sjouke Mauw,University of Luxembourg
33/3380,Nicholas Asher,None
166/8102,Benjamin D. Horne,None
209/8311,Jon Green,None
205/3118,John P. Wihbey,Northeastern University, Boston, MA, USA
215/3175,Aaron Shaw,None
311/5293,Arsal Imtiaz,None
42/181,Danish Khan,None
256/5541,Hanjia Lyu,None
25/5545,Jiebo Luo,University of Rochester, Department of Computer Science, NY, USA
157/8162,Mohsen Jadidi,GESIS, Germany
146/0502,Haiko Lietz,None
175/0491,Mattia Samory,None
32/4045,Claudia Wagner 0001,RWTH Aachen University, Germany
238/0571,Siddharth D. Jaiswal,None
306/7742,Karthikeya Duggirala,None
188/5728,Abhisek Dash,None
201/9832,Jasser Jasser,None
331/5681,Dan Eilen,None
27/6705,Ivan Garibay,University of Central Florida, USA
314/5933,Catherine Jennifer,None
189/7679,Fatemeh Tahmasbi,None
310/5364,Yanru Jiang,None
68/3340,Xin Jin,None
331/5801,Qinghao Deng,None
247/5849,Yueyi Jiang,None
